Date Time,Baudrate,Data analog1,Data analog2
2020 06 14 00:16:03,115200,35,53
2020 06 14 00:16:03,115200,35,53
2020 06 14 00:16:04,115200,35,53
2020 06 14 00:16:04,115200,35,54
2020 06 14 00:16:05,115200,35,54
2020 06 14 00:16:05,115200,35,53
2020 06 14 00:16:06,115200,35,53
2020 06 14 00:16:06,115200,34,53
2020 06 14 00:16:07,115200,35,53
2020 06 14 00:16:07,115200,35,53
2020 06 14 00:16:08,115200,34,53
2020 06 14 00:16:08,115200,35,53
2020 06 14 00:16:09,115200,35,54
2020 06 14 00:16:09,115200,35,54
2020 06 14 00:16:10,115200,34,53
2020 06 14 00:16:10,115200,35,53
2020 06 14 00:16:11,115200,35,55
2020 06 14 00:16:11,115200,34,53
2020 06 14 00:16:12,115200,35,53
