Date Time,Baudrate,Data analog1,Data analog2
1,2020 06 16 23:23:55.794556,115200,25,19
2,2020 06 16 23:23:56.298450,115200,25,19
3,2020 06 16 23:23:56.837501,115200,25,19
4,2020 06 16 23:23:57.321302,115200,25,19
5,2020 06 16 23:23:57.865537,115200,25,19
6,2020 06 16 23:23:58.261418,115200,24,19
7,2020 06 16 23:23:58.815785,115200,25,19
8,2020 06 16 23:23:59.307734,115200,33,18
9,2020 06 16 23:23:59.734654,115200,66,19
10,2020 06 16 23:24:00.326100,115200,72,19
11,2020 06 16 23:24:00.784841,115200,72,19
12,2020 06 16 23:24:01.318671,115200,70,19
13,2020 06 16 23:24:01.855667,115200,38,19
14,2020 06 16 23:24:02.277365,115200,13,19
15,2020 06 16 23:24:02.862854,115200,3,19
16,2020 06 16 23:24:03.332335,115200,3,19
17,2020 06 16 23:24:03.846565,115200,3,0
18,2020 06 16 23:24:04.324730,115200,3,0
19,2020 06 16 23:24:04.812507,115200,3,0
20,2020 06 16 23:24:05.267247,115200,3,15
21,2020 06 16 23:24:05.852874,115200,3,51
22,2020 06 16 23:24:06.379269,115200,3,55
23,2020 06 16 23:24:06.861615,115200,3,54
24,2020 06 16 23:24:07.323598,115200,3,75
25,2020 06 16 23:24:07.861835,115200,3,62
26,2020 06 16 23:24:08.325356,115200,3,30
27,2020 06 16 23:24:08.817496,115200,3,4
28,2020 06 16 23:24:09.356015,115200,3,0
29,2020 06 16 23:24:09.855753,115200,3,0
30,2020 06 16 23:24:10.351610,115200,3,0
31,2020 06 16 23:24:10.782714,115200,3,0
32,2020 06 16 23:24:11.279132,115200,3,0
33,2020 06 16 23:24:11.912467,115200,3,0
34,2020 06 16 23:24:12.381601,115200,3,0
35,2020 06 16 23:24:12.787687,115200,3,0
36,2020 06 16 23:24:13.241427,115200,3,0
37,2020 06 16 23:24:13.846387,115200,3,0
38,2020 06 16 23:24:14.331625,115200,3,0
39,2020 06 16 23:24:14.810351,115200,3,0
40,2020 06 16 23:24:15.341555,115200,3,0
41,2020 06 16 23:24:15.845978,115200,3,0
42,2020 06 16 23:24:16.346606,115200,3,0
43,2020 06 16 23:24:16.808906,115200,3,0
44,2020 06 16 23:24:17.369606,115200,3,0
45,2020 06 16 23:24:17.867847,115200,3,0
46,2020 06 16 23:24:18.298606,115200,37,0
47,2020 06 16 23:24:18.879492,115200,58,0
48,2020 06 16 23:24:19.266520,115200,63,0
49,2020 06 16 23:24:19.842702,115200,64,0
50,2020 06 16 23:24:20.384396,115200,63,0
51,2020 06 16 23:24:20.847149,115200,41,0
52,2020 06 16 23:24:21.327216,115200,26,0
53,2020 06 16 23:24:21.857694,115200,64,0
54,2020 06 16 23:24:22.412696,115200,48,0
55,2020 06 16 23:24:22.874432,115200,23,0
56,2020 06 16 23:24:23.344552,115200,25,0
57,2020 06 16 23:24:23.896776,115200,25,0
58,2020 06 16 23:24:24.344521,115200,25,0
59,2020 06 16 23:24:24.841360,115200,25,0
60,2020 06 16 23:24:25.369846,115200,25,0
61,2020 06 16 23:24:25.928297,115200,25,0
62,2020 06 16 23:24:26.372556,115200,24,0
63,2020 06 16 23:24:26.861308,115200,24,0
64,2020 06 16 23:24:27.399509,115200,25,0
65,2020 06 16 23:24:27.886760,115200,25,0
66,2020 06 16 23:24:28.382499,115200,25,0
67,2020 06 16 23:24:28.878726,115200,25,0
68,2020 06 16 23:24:29.392435,115200,25,0
69,2020 06 16 23:24:29.879443,115200,25,0
70,2020 06 16 23:24:30.326839,115200,25,0
71,2020 06 16 23:24:30.895298,115200,25,0
72,2020 06 16 23:24:31.371453,115200,25,0
73,2020 06 16 23:24:31.875408,115200,25,0
74,2020 06 16 23:24:32.375795,115200,48,0
75,2020 06 16 23:24:32.890671,115200,61,0
76,2020 06 16 23:24:33.400475,115200,56,0
77,2020 06 16 23:24:33.951671,115200,48,0
78,2020 06 16 23:24:34.400718,115200,47,0
79,2020 06 16 23:24:34.909587,115200,47,0
80,2020 06 16 23:24:35.376529,115200,47,0
81,2020 06 16 23:24:36.025470,115200,47,0
82,2020 06 16 23:24:36.554379,115200,40,0
83,2020 06 16 23:24:36.986343,115200,33,0
84,2020 06 16 23:24:37.502772,115200,28,0
85,2020 06 16 23:24:37.895481,115200,27,0
86,2020 06 16 23:24:38.408712,115200,29,0
87,2020 06 16 23:24:38.881336,115200,33,0
88,2020 06 16 23:24:39.396562,115200,38,0
89,2020 06 16 23:24:39.900274,115200,40,0
90,2020 06 16 23:24:40.375706,115200,42,0
91,2020 06 16 23:24:40.886550,115200,45,0
92,2020 06 16 23:24:41.392014,115200,45,0
93,2020 06 16 23:24:41.773954,115200,45,0
94,2020 06 16 23:24:42.362616,115200,46,0
95,2020 06 16 23:24:42.847335,115200,45,0
